"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 19 19:49:59 CST 2024","Thu Dec 19 19:49:59 CST 2024","92","登录模块","test_login","Test_api_case3","","","test_login[case0]",""
"passed","Thu Dec 19 19:49:59 CST 2024","Thu Dec 19 19:49:59 CST 2024","13","查询数据","查询返回多条数据","Test_api_query","","","test_query[case0]",""
"passed","Thu Dec 19 19:49:59 CST 2024","Thu Dec 19 19:49:59 CST 2024","13","查询数据","查询返回多条数据","Test_api_query","","","test_query[case1]",""
"passed","Thu Dec 19 19:49:59 CST 2024","Thu Dec 19 19:49:59 CST 2024","11","查询数据","根据已有用户id查询","已有id","","","test_query_id[case0]",""
"passed","Thu Dec 19 19:49:59 CST 2024","Thu Dec 19 19:49:59 CST 2024","41","查询数据","sql插入数据","查询SQL插入的数据","","","使用SQL语句准备数据用户查询接口",""
"passed","Thu Dec 19 19:49:59 CST 2024","Thu Dec 19 19:49:59 CST 2024","118","添加数据","adduesr_test","Test_api_add","","","test_add[case0]",""
